WGS84_1;WGS84_2;LV95_1;LV95_2
7.268044253;47.12449564;2587056;1219293
7.266619795;47.12485329;2586948;1219333
7.272550709;47.12470916;2587398;1219316
7.271206933;47.12456328;2587296;1219300
7.266542788;47.12421454;2586942;1219262
7.282464245;47.12365276;2588150;1219197
7.267139148;47.1272737;2586988;1219602
7.273161461;47.12325288;2587444;1219154
7.268724977;47.12592684;2587108;1219452
7.267657824;47.1258173;2587027;1219440
7.277102159;47.12747711;2587744;1219623
7.281537503;47.12509067;2588080;1219357
7.285331963;47.12545562;2588368;1219397
7.275420313;47.12151112;2587615;1218960
7.276355013;47.12181828;2587686;1218994
7.279890608;47.12493547;2587955;1219340
7.284081536;47.12491424;2588273;1219337
7.276971321;47.12716211;2587734;1219588
7.278872821;47.12155198;2587877;1218964
7.272128877;47.12474452;2587366;1219320
7.277010634;47.12289859;2587736;1219114
7.276532978;47.12828584;2587701;1219713
7.275835863;47.12782612;2587648;1219662
7.268752168;47.12566602;2587110;1219423
7.270565358;47.11906646;2587246;1218689
7.265631828;47.12471688;2586873;1219318
7.265154873;47.12548972;2586837;1219404
7.277202576;47.12478779;2587751;1219324
7.285422064;47.12620231;2588375;1219480
7.260991272;47.12125572;2586520;1218934
7.286757853;47.12455804;2588476;1219297
7.260717423;47.12039179;2586499;1218838
7.277391833;47.12756747;2587766;1219633
7.261200858;47.12163383;2586536;1218976
7.260229579;47.12047198;2586462;1218847
7.27753667;47.12761265;2587777;1219638
