,ADR_EGAID,STR_ESID,BDG_EGID,ADR_EDID,STN_LABEL,ADR_NUMBER,BDG_CATEGORY,BDG_NAME,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_VALID,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
2505913,102883754,10010253,504032388,0,Haldenstrasse,36a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587064,1219341
2505928,102883735,10010246,504032465,0,Bielstrasse,64b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587033,1219300
2506074,102883863,10086640,504032290,0,Orpundstrasse,27c,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588607,1219357
2506085,102883644,10136717,504032410,0,Eschenweg,4c,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586982,1219649
2506090,102883707,10010260,504032323,0,Neubrückstrasse,17a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587768,1218872
2506132,102883556,10175297,504032347,0,Längholz,4,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587918,1220530
2506135,102883708,10010246,504032472,0,Bielstrasse,58a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587086,1219308
2506139,102883646,10109854,504032338,0,Mettgasse,3a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588177,1219257
2506145,102883722,10003776,504032156,0,Guinandstrasse,4a,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587859,1219439
2506173,102883901,10086643,504032205,0,Waldeckstrasse,14a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586989,1219552
2506175,102883694,10180643,504032401,0,Gottstattstrasse,5a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588087,1219485
2506196,102883884,10112479,504032443,0,Chaletweg,8a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587194,1219403
2506206,102883720,10010246,504032469,0,Bielstrasse,60a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587069,1219307
2506207,102883611,10010246,504032495,0,Bielstrasse,10a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587680,1219444
2506217,102883763,10086642,504032132,0,Römerstrasse,11b,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587158,1218879
2506222,102883670,10010259,504032333,0,Mühleweg,1a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588894,1219388
2506261,102883746,10010264,504032135,0,Rosenweg,11a,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587753,1219619
